,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2.AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
21317,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/14/2008,Parts per billion,29.043478,46,2,43,Parts per million,0.028875,0.049,10,42,Parts per billion,3.521739,7,8,10,Parts per million,0.533333,0.9,7,10
21321,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/15/2008,Parts per billion,15.173913,24,21,23,Parts per million,0.035625,0.045,10,38,Parts per billion,2,3,0,4,Parts per million,0.291667,0.3,0,3
21325,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/16/2008,Parts per billion,18.521739,37,22,35,Parts per million,0.034667,0.053,10,45,Parts per billion,2.086957,5,12,7,Parts per million,0.341667,0.4,7,5
21329,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/17/2008,Parts per billion,38.521739,67,23,65,Parts per million,0.026542,0.056,12,47,Parts per billion,2.782609,5,10,7,Parts per million,0.6875,1.2,10,14
21333,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/18/2008,Parts per billion,36.26087,60,6,57,Parts per million,0.037,0.056,12,47,Parts per billion,3.434783,7,10,10,Parts per million,0.725,1.1,7,13
21337,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/19/2008,Parts per billion,10.173913,19,23,18,Parts per million,0.045833,0.053,7,45,Parts per billion,2.173913,3,5,4,Parts per million,0.279167,0.3,0,3
21341,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/20/2008,Parts per billion,12.652174,21,2,20,Parts per million,0.04,0.054,10,46,Parts per billion,2.869565,5,10,7,Parts per million,0.3,0.3,0,3
21345,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/21/2008,Parts per billion,19.869565,35,7,33,Parts per million,0.031875,0.047,10,40,Parts per billion,2.565217,5,7,7,Parts per million,0.354167,0.5,8,6
21349,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/22/2008,Parts per billion,23.913043,39,6,37,Parts per million,0.035333,0.053,10,45,Parts per billion,2.782609,6,12,9,Parts per million,0.404167,0.6,8,7
21353,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/23/2008,Parts per billion,16.652174,31,6,29,Parts per million,0.034917,0.046,10,39,Parts per billion,2.26087,4,6,6,Parts per million,0.316667,0.4,10,5
21357,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/24/2008,Parts per billion,20.26087,31,23,29,Parts per million,0.030042,0.048,10,41,Parts per billion,2.695652,6,12,9,Parts per million,0.379167,0.5,10,6
21361,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/25/2008,Parts per billion,34.391304,61,12,58,Parts per million,0.02725,0.052,13,44,Parts per billion,2.652174,9,12,13,Parts per million,0.641667,1.1,10,13
