,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2.AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
16097,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/26/2005,Parts per billion,20.956522,34,7,32,Parts per million,0.018292,0.034,12,29,Parts per billion,1.347826,4,6,6,Parts per million,0.358333,0.5,0,6
16101,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/27/2005,Parts per billion,19.826087,30,1,28,Parts per million,0.017542,0.037,11,31,Parts per billion,1.608696,7,10,10,Parts per million,0.504167,0.9,6,10
16105,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/28/2005,Parts per billion,24.347826,38,12,36,Parts per million,0.009208,0.017,10,14,Parts per billion,1.565217,8,12,11,Parts per million,0.6875,1.2,8,14
16109,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/1/2005,Parts per billion,22.913043,32,8,30,Parts per million,0.016625,0.025,13,21,Parts per billion,1.086957,6,12,9,Parts per million,0.645833,1.2,8,14
16113,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/2/2005,Parts per billion,20.826087,32,6,30,Parts per million,0.015833,0.022,8,19,Parts per billion,1.043478,3,8,4,Parts per million,0.541667,0.8,8,9
16117,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/3/2005,Parts per billion,17.043478,30,23,28,Parts per million,0.017375,0.028,9,24,Parts per billion,0.782609,4,16,6,Parts per million,0.475,0.7,23,8
16121,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/4/2005,Parts per billion,16.391304,29,23,27,Parts per million,0.020917,0.034,9,29,Parts per billion,0.434783,1,0,1,Parts per million,0.504167,0.7,0,8
16125,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/5/2005,Parts per billion,22.869565,33,21,31,Parts per million,0.016208,0.032,10,27,Parts per billion,2,8,9,11,Parts per million,0.716667,0.9,6,10
16129,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/6/2005,Parts per billion,19.043478,28,3,26,Parts per million,0.020208,0.035,13,30,Parts per billion,2.26087,9,11,13,Parts per million,0.7125,0.9,6,10
16133,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/7/2005,Parts per billion,24.434783,36,11,34,Parts per million,0.016542,0.024,12,20,Parts per billion,2.478261,11,11,16,Parts per million,0.729167,0.9,21,10
16137,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/8/2005,Parts per billion,22.304348,34,16,32,Parts per million,0.026625,0.031,8,26,Parts per billion,0.73913,3,15,4,Parts per million,0.733333,0.9,0,10
16141,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/9/2005,Parts per billion,25.913043,49,12,46,Parts per million,0.019042,0.028,13,24,Parts per billion,2.26087,9,13,13,Parts per million,0.775,1,12,11
16145,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/10/2005,Parts per billion,35.347826,62,13,60,Parts per million,0.022833,0.044,21,37,Parts per billion,3.043478,20,13,29,Parts per million,0.995833,1.3,13,15
16149,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/11/2005,Parts per billion,21.73913,30,15,28,Parts per million,0.03,0.04,9,34,Parts per billion,1.217391,8,22,11,Parts per million,0.725,0.9,0,10
16153,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/12/2005,Parts per billion,18.130435,36,0,34,Parts per million,0.035875,0.043,13,36,Parts per billion,4.217391,17,11,24,Parts per million,0.625,0.7,0,8
16157,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/13/2005,Parts per billion,14.130435,27,7,25,Parts per million,0.031958,0.037,0,31,Parts per billion,1.565217,9,8,13,Parts per million,0.545833,0.6,9,7
16161,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/14/2005,Parts per billion,23,43,20,41,Parts per million,0.018792,0.034,10,29,Parts per billion,0.826087,2,0,3,Parts per million,0.691667,1.2,23,14
16165,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/15/2005,Parts per billion,32.782609,44,0,42,Parts per million,0.01475,0.031,10,26,Parts per billion,1.434783,3,1,4,Parts per million,1.4125,2.2,7,25
16169,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/16/2005,Parts per billion,35.913043,52,21,49,Parts per million,0.012583,0.027,11,23,Parts per billion,2.913043,11,15,16,Parts per million,1.2375,1.6,7,18
16173,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/17/2005,Parts per billion,28.26087,43,1,41,Parts per million,0.022958,0.035,9,30,Parts per billion,2.043478,4,15,6,Parts per million,1.129167,1.5,4,17
16177,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/18/2005,Parts per billion,21.217391,32,6,30,Parts per million,0.026708,0.035,22,30,Parts per billion,0.695652,2,5,3,Parts per million,0.7625,0.8,0,9
16181,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/19/2005,Parts per billion,14.434783,21,19,20,Parts per million,0.026625,0.031,0,26,Parts per billion,0.565217,1,0,1,Parts per million,0.6625,0.7,0,8
16185,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/20/2005,Parts per billion,11,17,6,16,Parts per million,0.028375,0.041,9,35,Parts per billion,0.391304,1,2,1,Parts per million,0.620833,0.7,0,8
16189,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/21/2005,Parts per billion,21,30,8,28,Parts per million,0.020792,0.033,10,28,Parts per billion,0.695652,2,5,3,Parts per million,0.8875,1.4,9,16
16193,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/22/2005,Parts per billion,15.26087,23,6,22,Parts per million,0.024208,0.036,20,31,Parts per billion,0.695652,3,8,4,Parts per million,0.704167,0.8,8,9
16197,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/23/2005,Parts per billion,14.521739,31,7,29,Parts per million,0.031333,0.037,10,31,Parts per billion,0.608696,2,5,3,Parts per million,0.616667,0.7,8,8
16201,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/24/2005,Parts per billion,25.73913,38,20,36,Parts per million,0.016167,0.025,0,21,Parts per billion,2.130435,11,20,16,Parts per million,0.8125,1,19,11
16205,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/25/2005,Parts per billion,26,33,22,31,Parts per million,0.016542,0.031,11,26,Parts per billion,1.652174,6,12,9,Parts per million,0.904167,1.1,9,13
16209,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/26/2005,Parts per billion,26.869565,42,22,40,Parts per million,0.020833,0.038,10,32,Parts per billion,1.73913,6,14,9,Parts per million,0.970833,1.2,7,14
16213,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/27/2005,Parts per billion,26.043478,38,1,36,Parts per million,0.029625,0.046,10,39,Parts per billion,1.782609,9,11,13,Parts per million,1.066667,1.5,7,17
16217,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/28/2005,Parts per billion,15.652174,27,21,25,Parts per million,0.028167,0.035,10,30,Parts per billion,0.304348,1,5,1,Parts per million,0.6,0.7,0,8
16221,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/29/2005,Parts per billion,20.173913,34,8,32,Parts per million,0.019667,0.034,10,29,Parts per billion,0.652174,2,12,3,Parts per million,0.779167,1,9,11
16225,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/30/2005,Parts per billion,26.217391,45,21,42,Parts per million,0.017792,0.039,10,33,Parts per billion,0.608696,1,5,1,Parts per million,0.8375,1.2,23,14
16229,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,3/31/2005,Parts per billion,30.608696,54,19,51,Parts per million,0.022125,0.05,10,42,Parts per billion,1.130435,8,5,11,Parts per million,1.1625,1.8,4,20
16233,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/1/2005,Parts per billion,37,51,1,48,Parts per million,0.017,0.034,10,29,Parts per billion,2.045455,9,10,13,Parts per million,1.191667,1.6,4,18
16237,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/2/2005,Parts per billion,34.086957,48,1,45,Parts per million,0.022292,0.04,11,34,Parts per billion,2.478261,9,13,13,Parts per million,1.175,1.6,4,18
16241,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/3/2005,Parts per billion,16.521739,32,0,30,Parts per million,0.031542,0.04,7,34,Parts per billion,1.782609,5,16,7,Parts per million,0.679167,0.8,2,9
16245,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/4/2005,Parts per billion,18.217391,36,22,34,Parts per million,0.025292,0.038,9,32,Parts per billion,0.478261,1,0,1,Parts per million,0.591667,0.7,20,8
16249,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/5/2005,Parts per billion,37.695652,49,21,46,Parts per million,0.016417,0.033,12,28,Parts per billion,2.956522,10,14,14,Parts per million,1.108333,1.5,11,17
16253,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/6/2005,Parts per billion,45.913043,80,12,79,Parts per million,0.023333,0.043,13,36,Parts per billion,2.521739,10,12,14,Parts per million,1.504167,2,8,23
16257,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/7/2005,Parts per billion,19.521739,35,23,33,Parts per million,0.021458,0.035,13,30,Parts per billion,0.652174,2,5,3,Parts per million,0.8125,1,8,11
16261,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/8/2005,Parts per billion,19.608696,39,7,37,Parts per million,0.02725,0.038,9,32,Parts per billion,0.521739,2,5,3,Parts per million,0.983333,1.5,8,17
16265,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/9/2005,Parts per billion,16.043478,36,6,34,Parts per million,0.027958,0.041,8,35,Parts per billion,0.347826,2,17,3,Parts per million,0.7125,0.8,7,9
16269,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/10/2005,Parts per billion,18.956522,28,12,26,Parts per million,0.021167,0.036,11,31,Parts per billion,1.956522,13,12,19,Parts per million,0.870833,1,6,11
16273,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/11/2005,Parts per billion,26.434783,40,22,38,Parts per million,0.018917,0.035,10,30,Parts per billion,1.73913,6,12,9,Parts per million,0.9375,1.1,10,13
16277,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/12/2005,Parts per billion,30.869565,51,9,48,Parts per million,0.020458,0.039,12,33,Parts per billion,2.173913,10,11,14,Parts per million,1.233333,1.8,11,20
16281,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/13/2005,Parts per billion,25.347826,45,21,42,Parts per million,0.021083,0.038,12,32,Parts per billion,1.73913,8,12,11,Parts per million,0.929167,1.2,23,14
16285,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/14/2005,Parts per billion,28.521739,45,7,42,Parts per million,0.024875,0.041,12,35,Parts per billion,2.217391,9,12,13,Parts per million,1.175,1.5,11,17
16289,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/15/2005,Parts per billion,29.26087,45,7,42,Parts per million,0.023583,0.042,10,36,Parts per billion,2.217391,8,18,11,Parts per million,1.075,1.3,10,15
16293,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/16/2005,Parts per billion,29.173913,53,11,50,Parts per million,0.02975,0.052,11,44,Parts per billion,4.956522,29,11,41,Parts per million,1.170833,1.5,11,17
16297,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/17/2005,Parts per billion,12.304348,21,17,20,Parts per million,0.055625,0.068,21,77,Parts per billion,2.086957,5,12,7,Parts per million,0.829167,0.9,0,10
16301,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/18/2005,Parts per billion,15.869565,28,16,26,Parts per million,0.038208,0.064,0,64,Parts per billion,1,4,14,6,Parts per million,0.8875,1.1,17,13
16305,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/19/2005,Parts per billion,17.869565,31,15,29,Parts per million,0.030125,0.039,7,33,Parts per billion,1.478261,5,0,7,Parts per million,0.920833,1.1,18,13
16309,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/20/2005,Parts per billion,17.565217,33,5,31,Parts per million,0.0275,0.04,12,34,Parts per billion,0.652174,3,11,4,Parts per million,0.816667,1.1,10,13
16313,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/21/2005,Parts per billion,28.913043,58,11,55,Parts per million,0.023042,0.046,12,39,Parts per billion,1.869565,14,11,20,Parts per million,0.533333,0.9,9,10
16317,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/22/2005,Parts per billion,26.782609,44,7,42,Parts per million,0.019458,0.033,9,28,Parts per billion,1.73913,8,7,11,Parts per million,0.45,0.6,7,7
16321,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/23/2005,Parts per billion,20,34,1,32,Parts per million,0.024458,0.038,9,32,Parts per billion,0.913043,4,9,6,Parts per million,0.458333,0.8,9,9
16325,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/24/2005,Parts per billion,12.652174,26,5,25,Parts per million,0.026042,0.036,10,31,Parts per billion,1.304348,6,7,9,Parts per million,0.208333,0.3,12,3
16329,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/25/2005,Parts per billion,15.652174,26,15,25,Parts per million,0.022167,0.031,9,26,Parts per billion,0.913043,4,12,6,Parts per million,0.333333,0.4,10,5
16333,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/26/2005,Parts per billion,19,30,7,28,Parts per million,0.021042,0.035,14,30,Parts per billion,1.521739,7,8,10,Parts per million,0.425,0.6,9,7
16337,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/27/2005,Parts per billion,16.869565,36,5,34,Parts per million,0.022958,0.031,7,26,Parts per billion,1.608696,8,5,11,Parts per million,0.370833,0.4,0,5
16341,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/28/2005,Parts per billion,13.304348,22,6,21,Parts per million,0.026958,0.034,8,29,Parts per billion,0.217391,1,5,1,Parts per million,0.270833,0.3,0,3
16345,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/29/2005,Parts per billion,17.521739,32,5,30,Parts per million,0.022833,0.03,13,25,Parts per billion,1.086957,3,11,4,Parts per million,0.383333,0.5,10,6
16349,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/30/2005,Parts per billion,18.913043,32,9,30,Parts per million,0.0235,0.039,11,33,Parts per billion,2.565217,13,10,19,Parts per million,0.441667,0.7,9,8
16353,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/1/2005,Parts per billion,13.434783,28,0,26,Parts per million,0.028,0.041,10,35,Parts per billion,1.478261,5,0,7,Parts per million,0.320833,0.4,11,5
16357,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/2/2005,Parts per billion,15.782609,24,16,23,Parts per million,0.020542,0.024,18,20,Parts per billion,3,12,19,17,Parts per million,0.375,0.4,6,5
16361,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/3/2005,Parts per billion,16.913043,31,23,29,Parts per million,0.023792,0.031,12,26,Parts per billion,1.695652,6,12,9,Parts per million,0.383333,0.5,12,6
16365,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/4/2005,Parts per billion,14.26087,26,16,25,Parts per million,0.03625,0.042,18,36,Parts per billion,1.608696,4,12,6,Parts per million,0.3875,0.5,15,6
16369,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/5/2005,Parts per billion,15.611111,33,5,31,Parts per million,0.025833,0.034,21,29,Parts per billion,1.478261,5,5,7,Parts per million,0.375,0.5,11,6
16373,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/6/2005,Parts per billion,14.130435,27,6,25,Parts per million,0.02475,0.032,0,27,Parts per billion,0.941176,2,5,3,Parts per million,0.208333,0.3,0,3
16377,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/7/2005,Parts per billion,13.434783,23,5,22,Parts per million,0.025042,0.036,10,31,Parts per billion,1.217391,3,13,4,Parts per million,0.1,0.1,0,1
16381,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/8/2005,Parts per billion,14.304348,27,1,25,Parts per million,0.023208,0.033,11,28,Parts per billion,1.652174,5,10,7,Parts per million,0.108333,0.2,5,2
16385,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/9/2005,Parts per billion,14.869565,22,3,21,Parts per million,0.02075,0.03,15,25,Parts per billion,1,4,14,6,Parts per million,0.133333,0.2,11,2
16389,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/10/2005,Parts per billion,21.043478,38,7,36,Parts per million,0.02125,0.037,9,31,Parts per billion,0.826087,4,5,6,Parts per million,0.286667,0.8,9,9
16393,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/11/2005,Parts per billion,24.4,37,8,35,Parts per million,0.020706,0.042,10,36,Parts per billion,0.9,6,12,9,Parts per million,0.341176,0.6,9,7
16397,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/12/2005,Parts per billion,35.782609,61,10,58,Parts per million,0.020167,0.045,12,38,Parts per billion,1.73913,8,11,11,Parts per million,0.570833,1.1,11,13
16401,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/13/2005,Parts per billion,27.222222,38,20,36,Parts per million,0.037188,0.059,10,50,Parts per billion,1.590909,7,10,10,Parts per million,0.420833,0.7,10,8
16405,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/14/2005,Parts per billion,18.347826,29,13,27,Parts per million,0.041542,0.069,12,80,Parts per billion,2.26087,8,12,11,Parts per million,0.329167,0.4,10,5
16409,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/15/2005,Parts per billion,14.130435,26,20,25,Parts per million,0.037083,0.042,11,36,Parts per billion,3.347826,9,14,13,Parts per million,0.245833,0.3,0,3
16413,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/16/2005,Parts per billion,15.26087,27,14,25,Parts per million,0.025042,0.039,0,33,Parts per billion,1.478261,4,11,6,Parts per million,0.233333,0.3,11,3
16417,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/17/2005,Parts per billion,16.173913,30,13,28,Parts per million,0.026167,0.038,11,32,Parts per billion,1,4,5,6,Parts per million,0.241667,0.3,0,3
16421,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/18/2005,Parts per billion,18.565217,31,11,29,Parts per million,0.023917,0.039,10,33,Parts per billion,1.130435,6,11,9,Parts per million,0.3375,0.5,10,6
16425,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/19/2005,Parts per billion,18.826087,45,11,42,Parts per million,0.017167,0.036,9,31,Parts per billion,2.347826,16,11,23,Parts per million,0.358333,0.6,11,7
16429,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/20/2005,Parts per billion,16.043478,34,12,32,Parts per million,0.017458,0.03,12,25,Parts per billion,1.608696,8,12,11,Parts per million,0.3125,0.5,10,6
16433,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/21/2005,Parts per billion,23.826087,37,21,35,Parts per million,0.030292,0.053,12,45,Parts per billion,3.217391,12,20,17,Parts per million,0.4,0.5,10,6
16437,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/22/2005,Parts per billion,18.043478,35,11,33,Parts per million,0.041208,0.048,10,41,Parts per billion,2.652174,13,11,19,Parts per million,0.375,0.5,16,6
16441,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/23/2005,Parts per billion,15.434783,27,18,25,Parts per million,0.033917,0.042,0,36,Parts per billion,1.565217,5,17,7,Parts per million,0.2875,0.4,14,5
16445,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/24/2005,Parts per billion,14.391304,26,18,25,Parts per million,0.039333,0.045,19,38,Parts per billion,0.826087,4,17,6,Parts per million,0.320833,0.4,11,5
16449,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/25/2005,Parts per billion,17.73913,45,11,42,Parts per million,0.037958,0.05,12,42,Parts per billion,0.956522,6,11,9,Parts per million,0.404167,0.6,12,7
16453,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/26/2005,Parts per billion,19.695652,39,9,37,Parts per million,0.034,0.046,12,39,Parts per billion,1.608696,7,10,10,Parts per million,0.404167,0.6,13,7
16457,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/27/2005,Parts per billion,15.565217,25,19,24,Parts per million,0.039,0.047,23,40,Parts per billion,0.521739,2,16,3,Parts per million,0.383333,0.5,18,6
16461,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/28/2005,Parts per billion,10.913043,17,10,16,Parts per million,0.04525,0.048,14,41,Parts per billion,0.782609,3,12,4,Parts per million,0.279167,0.4,11,5
16465,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/29/2005,Parts per billion,11.26087,28,23,26,Parts per million,0.035458,0.048,10,41,Parts per billion,1.217391,7,22,10,Parts per million,0.3,0.3,0,3
16469,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/30/2005,Parts per billion,11.695652,26,0,25,Parts per million,0.033458,0.043,9,36,Parts per billion,0.956522,4,0,6,Parts per million,0.3375,0.4,0,5
16473,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/31/2005,Parts per billion,18.869565,32,11,30,Parts per million,0.029417,0.038,11,32,Parts per billion,1.913043,6,11,9,Parts per million,0.441667,0.6,11,7
16477,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/1/2005,Parts per billion,16.5,30,17,28,Parts per million,0.037263,0.041,7,35,Parts per billion,1.166667,4,16,6,Parts per million,0.415789,0.5,12,6
16481,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/2/2005,Parts per billion,13.478261,25,9,24,Parts per million,0.02675,0.033,18,28,Parts per billion,0.73913,3,16,4,Parts per million,0.370833,0.5,13,6
16485,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/3/2005,Parts per billion,13.826087,22,6,21,Parts per million,0.033292,0.04,9,34,Parts per billion,1,2,2,3,Parts per million,0.308333,0.4,11,5
16489,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/4/2005,Parts per billion,13.913043,28,11,26,Parts per million,0.039625,0.049,13,42,Parts per billion,1.347826,6,11,9,Parts per million,0.370833,0.5,11,6
16493,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/5/2005,Parts per billion,11.26087,20,23,19,Parts per million,0.035542,0.046,10,39,Parts per billion,1.173913,4,7,6,Parts per million,0.341667,0.4,10,5
16497,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/6/2005,Parts per billion,17.478261,27,8,25,Parts per million,0.026917,0.039,12,33,Parts per billion,1,4,8,6,Parts per million,0.433333,0.5,9,6
16501,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/7/2005,Parts per billion,21.26087,43,22,41,Parts per million,0.027667,0.045,12,38,Parts per billion,1.086957,5,11,7,Parts per million,0.458333,0.6,23,7
16505,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/8/2005,Parts per billion,22.26087,36,0,34,Parts per million,0.0225,0.04,10,34,Parts per billion,1.956522,8,7,11,Parts per million,0.558333,0.6,0,7
16509,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/9/2005,Parts per billion,14.217391,25,15,24,Parts per million,0.016583,0.023,7,19,Parts per billion,1.173913,3,2,4,Parts per million,0.441667,0.5,13,6
16513,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/10/2005,Parts per billion,18.608696,29,7,27,Parts per million,0.021125,0.032,12,27,Parts per billion,1.304348,4,6,6,Parts per million,0.483333,0.6,9,7
